,x,y
0,1715070.0,-3826770.0
1,1965830.0,-3387210.0
2,1965830.0,-3287310.0
3,1814970.0,-3267330.0
4,1975810.0,-3417170.0
5,2025770.0,-3256330.0
6,1854930.0,-3587010.0
7,1586210.0,-4035550.0
8,1885910.0,-3536050.0
9,1985810.0,-3367230.0
10,1965830.0,-3407190.0
11,1515270.0,-3926670.0
12,1945850.0,-3287310.0
13,1934850.0,-3487110.0
14,1726070.0,-3815770.0
15,1486310.0,-4135450.0
16,1655130.0,-3706890.0
17,1835950.0,-3297290.0
18,1985810.0,-3256330.0
19,1566230.0,-4175410.0
20,1646150.0,-3826770.0
21,1656130.0,-3916670.0
22,1995790.0,-3317270.0
23,1706090.0,-3715870.0
24,1566230.0,-3795790.0
25,1865930.0,-3655930.0
26,1386410.0,-3547050.0
27,1726070.0,-3387210.0
28,1715070.0,-3666930.0
29,1536250.0,-3317270.0
30,1985810.0,-3267330.0
31,1794990.0,-3587010.0
32,1925870.0,-3416170.0
33,1746050.0,-3675910.0
34,1865930.0,-3576010.0
35,1675110.0,-3746850.0
36,1686110.0,-3866730.0
37,1834950.0,-3706890.0
38,1736050.0,-3756830.0
39,1965830.0,-3296290.0
40,2035750.0,-3257330.0
41,1766030.0,-3735850.0
42,1825970.0,-3576010.0
43,1814970.0,-3327270.0
44,1935850.0,-3477110.0
45,1715070.0,-3746850.0
46,1666130.0,-3467130.0
47,1356430.0,-3896690.0
48,1676110.0,-3856730.0
49,1706090.0,-3646950.0
50,1746050.0,-3755830.0
51,1974810.0,-3327270.0
52,1746050.0,-3695890.0
53,2005790.0,-3307290.0
54,1576210.0,-3996590.0
55,1706090.0,-3815770.0
56,1595190.0,-3726870.0
57,1794990.0,-3487110.0
58,1955830.0,-3297290.0
59,1656130.0,-3996590.0
60,1954830.0,-3467130.0
61,1595190.0,-3507090.0
62,1575210.0,-4106490.0
63,1686110.0,-3706890.0
64,1675110.0,-3826770.0
65,1676110.0,-3916670.0
66,1895890.0,-3557030.0
67,1686110.0,-3846750.0
68,1606190.0,-3595990.0
69,1974810.0,-3307290.0
70,1775010.0,-3427170.0
71,1756030.0,-3417170.0
72,1626170.0,-3706890.0
73,1845950.0,-3436150.0
74,1575210.0,-3846750.0
75,1925870.0,-3547050.0
76,1615170.0,-4006590.0
77,1656130.0,-3656930.0
78,1675110.0,-3866730.0
79,1666130.0,-3946650.0
80,1606190.0,-4035550.0
81,1786010.0,-3655930.0
82,1686110.0,-3436150.0
83,1566230.0,-4186410.0
84,1776010.0,-3756830.0
85,1576210.0,-4136450.0
86,1636150.0,-3577010.0
87,1666130.0,-3706890.0
88,1974810.0,-3247350.0
89,1945850.0,-3267330.0
90,1515270.0,-3666930.0
91,1786010.0,-3775810.0
92,1635150.0,-3966630.0
93,1455330.0,-4046550.0
94,1655130.0,-3606990.0
95,1914870.0,-3487110.0
96,1905890.0,-3456130.0
97,1655130.0,-3926670.0
98,1805990.0,-3755830.0
99,1814970.0,-3726870.0
100,1686110.0,-3875710.0
101,1635150.0,-4006590.0
102,1894890.0,-3367230.0
103,1706090.0,-3416170.0
104,1506290.0,-3775810.0
105,1576210.0,-4056530.0
106,1945850.0,-3367230.0
107,1655130.0,-3846750.0
108,1925870.0,-3256330.0
109,1865930.0,-3527070.0
110,1835950.0,-3577010.0
111,1616170.0,-3876710.0
112,1555230.0,-3806790.0
113,1895890.0,-3596990.0
114,1726070.0,-3416170.0
115,1845950.0,-3686910.0
116,1915870.0,-3517070.0
117,1696090.0,-3497090.0
118,1666130.0,-3567030.0
119,1575210.0,-4006590.0
120,1606190.0,-3735850.0
121,1646150.0,-3447150.0
122,1646150.0,-3946650.0
123,1666130.0,-3615970.0
124,1865930.0,-3396190.0
125,1706090.0,-3726870.0
126,1706090.0,-3695890.0
127,1706090.0,-3507090.0
128,1766030.0,-3755830.0
129,1965830.0,-3347250.0
130,1626170.0,-3986610.0
131,1646150.0,-3567030.0
132,1655130.0,-3507090.0
133,1915870.0,-3417170.0
134,1576210.0,-3577010.0
135,1626170.0,-4026570.0
136,1635150.0,-3766830.0
137,2014770.0,-3347250.0
138,1626170.0,-3587010.0
139,1746050.0,-3476110.0
